RUN	viade_es5b.PruebaAñadirAmigo	pruebaan-adiramigo	1587660754745	 	3.3.1
REQUEST	17		PruebaAñadirAmigo_7	1587660777191	1587660777221	OK	 
REQUEST	7		PruebaAñadirAmigo_9	1587660777220	1587660777224	OK	 
REQUEST	7		PruebaAñadirAmigo_10	1587660777225	1587660777228	OK	 
REQUEST	7		PruebaAñadirAmigo_11	1587660777333	1587660777374	OK	 
USER	PruebaAñadirAmigo	19	START	1587660777864	1587660777864
REQUEST	19		PruebaAñadirAmigo_0	1587660777865	1587660777907	OK	 
REQUEST	19		PruebaAñadirAmigo_1	1587660777907	1587660777911	OK	 
REQUEST	19		PruebaAñadirAmigo_2	1587660777912	1587660777918	OK	 
REQUEST	19		PruebaAñadirAmigo_3	1587660778082	1587660778126	OK	 
REQUEST	18		PruebaAñadirAmigo_4	1587660778146	1587660778152	OK	 
REQUEST	18		PruebaAñadirAmigo_5	1587660778153	1587660778156	OK	 
REQUEST	18		PruebaAñadirAmigo_6	1587660778157	1587660778193	OK	 
REQUEST	8		PruebaAñadirAmigo_8	1587660778172	1587660778225	OK	 
REQUEST	18		PruebaAñadirAmigo_7	1587660778194	1587660778227	OK	 
REQUEST	8		PruebaAñadirAmigo_9	1587660778226	1587660778230	OK	 
REQUEST	8		PruebaAñadirAmigo_10	1587660778231	1587660778238	OK	 
REQUEST	8		PruebaAñadirAmigo_11	1587660778355	1587660778402	OK	 
USER	PruebaAñadirAmigo	20	START	1587660778865	1587660778865
REQUEST	20		PruebaAñadirAmigo_0	1587660778866	1587660778904	OK	 
REQUEST	20		PruebaAñadirAmigo_1	1587660778905	1587660778909	OK	 
REQUEST	20		PruebaAñadirAmigo_2	1587660778910	1587660778916	OK	 
REQUEST	20		PruebaAñadirAmigo_3	1587660779082	1587660779129	OK	 
REQUEST	19		PruebaAñadirAmigo_4	1587660779135	1587660779146	OK	 
REQUEST	19		PruebaAñadirAmigo_5	1587660779148	1587660779156	OK	 
REQUEST	19		PruebaAñadirAmigo_6	1587660779157	1587660779200	OK	 
REQUEST	9		PruebaAñadirAmigo_8	1587660779183	1587660779233	OK	 
REQUEST	19		PruebaAñadirAmigo_7	1587660779202	1587660779240	OK	 
REQUEST	9		PruebaAñadirAmigo_9	1587660779235	1587660779243	OK	 
REQUEST	9		PruebaAñadirAmigo_10	1587660779244	1587660779255	OK	 
REQUEST	9		PruebaAñadirAmigo_11	1587660779374	1587660779405	OK	 
REQUEST	1		PruebaAñadirAmigo_12	1587660779572	1587660779579	OK	 
REQUEST	1		PruebaAñadirAmigo_13	1587660779580	1587660779620	OK	 
REQUEST	1		PruebaAñadirAmigo_14	1587660779621	1587660779624	OK	 
REQUEST	1		PruebaAñadirAmigo_15	1587660779813	1587660779852	OK	 
REQUEST	20		PruebaAñadirAmigo_4	1587660780127	1587660780130	OK	 
REQUEST	20		PruebaAñadirAmigo_5	1587660780132	1587660780138	OK	 
