RUN	viade_es5b.PruebaCrearRuta	pruebacrearruta	1587659606529	no	3.3.1
REQUEST	39		PruebaCrearRuta_7	1587659621389	1587659621504	OK	 
REQUEST	13		PruebaCrearRuta_6	1587659621474	1587659621511	OK	 
REQUEST	29		PruebaCrearRuta_5	1587659621476	1587659621547	OK	 
REQUEST	44		PruebaCrearRuta_7	1587659621488	1587659621581	OK	 
REQUEST	34		PruebaCrearRuta_4	1587659621400	1587659621582	OK	 
REQUEST	9		PruebaCrearRuta_4	1587659621431	1587659621584	OK	 
REQUEST	40		PruebaCrearRuta_4	1587659621457	1587659621586	OK	 
REQUEST	24		PruebaCrearRuta_4	1587659621478	1587659621588	OK	 
REQUEST	29		PruebaCrearRuta_6	1587659621548	1587659621590	OK	 
REQUEST	34		PruebaCrearRuta_5	1587659621583	1587659621625	OK	 
REQUEST	9		PruebaCrearRuta_5	1587659621585	1587659621655	OK	 
REQUEST	35		PruebaCrearRuta_4	1587659621499	1587659621656	OK	 
REQUEST	45		PruebaCrearRuta_7	1587659621509	1587659621686	OK	 
REQUEST	11		PruebaCrearRuta_7	1587659621509	1587659621714	OK	 
REQUEST	34		PruebaCrearRuta_6	1587659621626	1587659621717	OK	 
REQUEST	9		PruebaCrearRuta_6	1587659621655	1587659621718	OK	 
REQUEST	35		PruebaCrearRuta_5	1587659621657	1587659621746	OK	 
REQUEST	40		PruebaCrearRuta_5	1587659621586	1587659621776	OK	 
REQUEST	50		PruebaCrearRuta_7	1587659621588	1587659621803	OK	 
REQUEST	24		PruebaCrearRuta_5	1587659621588	1587659621830	OK	 
REQUEST	26		PruebaCrearRuta_7	1587659621599	1587659621855	OK	 
REQUEST	13		PruebaCrearRuta_7	1587659621655	1587659621882	OK	 
REQUEST	3		PruebaCrearRuta_4	1587659621541	1587659621883	OK	 
REQUEST	23		PruebaCrearRuta_4	1587659621567	1587659621887	OK	 
REQUEST	8		PruebaCrearRuta_4	1587659621599	1587659621888	OK	 
